,Year,Country,Latitude,Longitude,Total Deaths,Total Missing,Total Injuries,Total Damage ($Mil),Total Houses Destroyed,Total Houses Damaged
319,1989,USA,37.036,-121.883,62.0,0.0,3757.0,5600.0,,
320,1989,JAPAN,39.571,143.333,0.0,0.0,0.0,,,
321,1989,ALGERIA,36.788,2.448,30.0,0.0,245.0,5.0,,
322,1989,USA TERRITORY,18.986,-68.833,0.0,0.0,0.0,,,
323,1989,JAPAN,39.837,142.76,0.0,0.0,0.0,,,
324,1990,PHILIPPINES,9.755,124.694,0.0,0.0,300.0,0.9,,600.0
325,1990,JAPAN,34.706,139.252,0.0,0.0,0.0,,,
326,1990,COSTA RICA,9.919,-84.808,0.0,0.0,15.0,,8.0,34.0
327,1990,USA TERRITORY,15.125,147.596,0.0,0.0,0.0,,,
328,1990,PHILIPPINES,7.0,126.0,0.0,0.0,0.0,,,
329,1990,IRAN,36.957,49.409,40000.0,0.0,105000.0,7200.0,100000.0,
330,1990,JAPAN,33.267,138.643,0.0,0.0,0.0,,,
331,1990,ITALY,37.3,15.438,19.0,0.0,200.0,500.0,,
332,1990,TAIWAN,23.722,121.627,0.0,0.0,0.0,,,
333,1991,GREECE,37.7,26.3,0.0,0.0,0.0,,,
334,1991,SOLOMON ISLANDS,-9.929,159.139,0.0,0.0,0.0,,,
335,1991,RUSSIA,48.268,154.328,0.0,0.0,0.0,,,
336,1991,USA,58.427,-175.45,0.0,0.0,0.0,,,
337,1991,COSTA RICA,9.685,-83.073,90.0,0.0,895.0,510.0,,
338,1991,GREECE,37.133,26.833,0.0,0.0,0.0,,,
339,1991,SOLOMON ISLANDS,-9.094,158.442,0.0,0.0,0.0,,,
340,1991,RUSSIA,45.533,151.021,0.0,0.0,0.0,,,
341,1992,CHINA,18.0,108.0,0.0,0.0,0.0,,,
342,1992,USA,40.368,-124.316,0.0,0.0,98.0,66.0,,
343,1992,PHILIPPINES,7.191,126.762,0.0,0.0,0.0,,12.0,
